eventId,circularId,subject,tags,num_tags,union_size,coverage,n_circulars_in_event
GRB 260805C,45346.0,GRB 260805C: CALET Gamma-Ray Burst Monitor detection,"['GRB', 'Gamma-ray Transient']",2,2,1.0,2
GRB 260805C,45292.0,GRB 260805C: Glowbug gamma-ray detection,"['GRB', 'Gamma-ray Transient']",2,2,1.0,2
GRB 260804A,45345.0,GRB 260804A: CALET Gamma-Ray Burst Monitor detection,"['GRB', 'Gamma-ray Transient']",2,2,1.0,3
GRB 260804A,45288.0,GRB 260804A: Glowbug gamma-ray detection,"['GRB', 'Gamma-ray Transient']",2,2,1.0,3
GRB 260804A,45281.0,GRB 260804A: Fermi GBM Final Real-time Localization,"['GRB', 'Gamma-ray Transient']",2,2,1.0,3
IceCube-260805A,45337.0,IceCube-260805A: Upper limits from a search for additional neutrino events in IceCube,['Neutrino'],1,1,1.0,3
IceCube-260805A,45310.0,IceCube-260805A: One candidate from the Zwicky Transient Facility,['Neutrino'],1,1,1.0,3
IceCube-260805A,45294.0,IceCube-260805A - IceCube observation of a high-energy neutrino candidate track-like event,['Neutrino'],1,1,1.0,3
GRB 260808C,45319.0,GRB 260808C: Fermi GBM Final Real-time Localization,"['GRB', 'Gamma-ray Transient']",2,2,1.0,1
EP260731a,45301.0,EP260731a: refined analysis of the EP-WXT and autonomous EP-FXT observations,['X-ray Transient'],1,1,1.0,4
EP260731a,45264.0,EP260731a: COLIBRÍ optical upper limit,['X-ray Transient'],1,1,1.0,4
EP260731a,45263.0,EP260731a: NOT optical upper limit,['X-ray Transient'],1,1,1.0,4
EP260731a,45261.0,EP260731a: Einstein Probe detection of an X-ray transient,['X-ray Transient'],1,1,1.0,4
GRB 260715A,45298.0,GRB 260715A: cubesat Avion detection,"['GRB', 'Gamma-ray Transient']",2,2,1.0,2
GRB 260715A,45167.0,GRB 260715A: Fermi GBM Final Real-time Localization,"['GRB', 'Gamma-ray Transient']",2,2,1.0,2
GRB 260709A,45297.0,GRB 260709A: cubesat Avion detection,"['GRB', 'Gamma-ray Transient']",2,3,0.6666666666666666,5
GRB 260709A,45164.0,GRB 260709A: AstroSat CZTI detection,"['GRB', 'Gamma-ray Transient', 'X-ray Transient']",3,3,1.0,5
GRB 260709A,45137.0,GRB 260709A: SVOM/GRM detection,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,5
GRB 260709A,45136.0,GRB 260709A: GECAM-B observation,"['GRB', 'Gamma-ray Transient']",2,3,0.6666666666666666,5
GRB 260709A,45121.0,GRB 260709A: Fermi GBM Final Real-time Localization,"['GRB', 'Gamma-ray Transient']",2,3,0.6666666666666666,5
GRB 260708A,45296.0,GRB 260708A: cubesat Avion detection,"['GRB', 'Gamma-ray Transient']",2,6,0.3333333333333333,14
GRB 260708A,45295.0, SN 2026stf / GRB 260708A: ATLAS forced photometry ,"['GRB', 'Optical Transient', 'SN']",3,6,0.5,14
GRB 260708A,45283.0,GRB 260708A / SN 2026stf: Spectroscopic host redshift z = 0.055 and confirmation of an associated type Ic-BL supernova,"['GRB', 'SN']",2,6,0.3333333333333333,14
GRB 260708A,45280.0,GRB 260708A: LCO further optical observations show supernova features,"['GRB', 'Optical Transient', 'SN']",3,6,0.5,14
GRB 260708A,45150.0,GRB 260708A: slowly decaying X-ray emission observed by EP/FXT,"['GRB', 'X-ray Transient']",2,6,0.3333333333333333,14
GRB 260708A,45147.0,GRB 260708A: GRANDMA Optical Observations ,"['GRB', 'Optical Transient']",2,6,0.3333333333333333,14
GRB 260708A,45140.0,GRB 260708A: LCO optical observations,"['GRB', 'Optical Transient']",2,6,0.3333333333333333,14
GRB 260708A,45130.0,GRB 260708A: Glowbug gamma-ray detection,"['GRB', 'Gamma-ray Transient']",2,6,0.3333333333333333,14
GRB 260708A,45127.0,GRB 260708A: Kilonova-Catcher optical afterglow detection,"['Afterglow', 'GRB', 'Optical Transient']",3,6,0.5,14
GRB 260708A,45126.0,GRB 260708A: GECAM-B observation of a burst,"['GRB', 'Gamma-ray Transient']",2,6,0.3333333333333333,14
GRB 260708A,45124.0,GRB 260708A: Fermi-GBM observation,"['GRB', 'Gamma-ray Transient']",2,6,0.3333333333333333,14
GRB 260708A,45123.0,Fermi LAT GRB 260708A: MASTER OT J150237.02-435307.7 optical counterpart detection,"['GRB', 'Gamma-ray Transient', 'Optical Transient']",3,6,0.5,14
GRB 260708A,45117.0,GRB 260708A: Fermi-LAT detection,"['GRB', 'Gamma-ray Transient']",2,6,0.3333333333333333,14
GRB 260708A,45115.0,GRB 260708A: Fermi-GBM detection,"['GRB', 'Gamma-ray Transient']",2,6,0.3333333333333333,14
GRB 260730B,45293.0,GRB 260730B: Glowbug gamma-ray detection,"['GRB', 'Gamma-ray Transient']",2,3,0.6666666666666666,4
GRB 260730B,45284.0,GRB 260730B: CALET Gamma-Ray Burst Monitor detection,"['GRB', 'Gamma-ray Transient']",2,3,0.6666666666666666,4
GRB 260730B,45265.0,GRB 260730B: AstroSat CZTI detection,"['GRB', 'Gamma-ray Transient', 'X-ray Transient']",3,3,1.0,4
GRB 260730B,45262.0,GRB 260730B: NuSTAR detection of prompt emission,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,4
GRB 260805B,45291.0,GRB 260805B: Glowbug gamma-ray detection,"['GRB', 'Gamma-ray Transient']",2,2,1.0,3
GRB 260805B,45289.0,GRB 260805B: Fermi GBM Final Localization,"['GRB', 'Gamma-ray Transient']",2,2,1.0,3
GRB 260805B,45287.0,GRB 260805B: BALROG localization (Fermi Trigger 807622617 / GRB 260805484),"['GRB', 'Gamma-ray Transient']",2,2,1.0,3
GRB 260805A,45290.0,Fermi GRB 260805A: Global MASTER-Net observations report,"['GRB', 'Gamma-ray Transient', 'Optical Transient']",3,3,1.0,2
GRB 260805A,45286.0,GRB 260805A: Fermi GBM Final Localization,"['GRB', 'Gamma-ray Transient']",2,3,0.6666666666666666,2
AT2026wki,45285.0,AT 2026wki: EP/FXT follow-up observations,['Misc'],1,1,1.0,1
IceCube-Cascade 260801A,45282.0,IceCube-Cascade 260801A: Upper limits from a search for additional neutrino events in IceCube,['Neutrino'],1,1,1.0,1
GRB 260803A,45279.0,GRB 260803A: Fermi GBM Final Real-time Localization,"['GRB', 'Gamma-ray Transient']",2,2,1.0,1
GRB 260802B,45278.0,Fermi GRB 260802B: Global MASTER-Net observations report,"['GRB', 'Gamma-ray Transient', 'Optical Transient']",3,3,1.0,2
GRB 260802B,45273.0,GRB 260802B: Fermi GBM Final Localization,"['GRB', 'Gamma-ray Transient']",2,3,0.6666666666666666,2
GRB 260802A,45277.0,GRB 260802A / EP J223759.5+521421: EP-FXT follow-up observation,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,6
GRB 260802A,45276.0,GRB 260802A / EP J223759.5+531421: SVOM/VT optical upper limit,"['GRB', 'Optical Transient', 'X-ray Transient']",3,3,1.0,6
GRB 260802A,45275.0,GRB 260802A: SVOM/VT optical upper limits from VHF data  ,"['GRB', 'Optical Transient']",2,3,0.6666666666666666,6
GRB 260802A,45274.0,GRB 260802A: LCO optical upper limits,"['GRB', 'Optical Transient']",2,3,0.6666666666666666,6
GRB 260802A,45272.0,GRB 260802A / EP J223759.5+531421: SVOM/COLIBRÍ (FM-GFT) optical upper limit,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,6
GRB 260802A,45270.0,GRB 260802A/EP J223759.5+531421: SVOM detection of a possible magnetar burst,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,6
GRB 260727A,45269.0,GRB 260727A: EP-FXT further follow-up observations and candidate afterglow,"['Afterglow', 'GRB', 'X-ray Transient']",3,5,0.6,15
GRB 260727A,45260.0,GRB 260727A: SVOM/ECLAIRs refined analysis,"['GRB', 'X-ray Transient']",2,5,0.4,15
GRB 260727A,45251.0,GRB 260727A: AbAO and SAO RAS optical observations,"['GRB', 'Optical Transient']",2,5,0.4,15
GRB 260727A,45247.0,GRB 260727A: SVOM/GRM observation,"['GRB', 'X-ray Transient']",2,5,0.4,15
GRB 260727A,45242.0,Konus-Wind detection of GRB 260727A,"['GRB', 'Gamma-ray Transient']",2,5,0.4,15
GRB 260727A,45240.0,GRB 260727A: Liverpool Telescope optical upper limits,['GRB'],1,5,0.2,15
GRB 260727A,45236.0,GRB 260727A: EP/FXT follow-up observations,['GRB'],1,5,0.2,15
GRB 260727A,45233.0,GRB 260727A: Glowbug gamma-ray detection,"['GRB', 'Gamma-ray Transient']",2,5,0.4,15
GRB 260727A,45231.0,GRB 260727A: J-band upper limit with WINTER,['GRB'],1,5,0.2,15
GRB 260727A,45228.0,GRB 260727A / SVOM sb26072702: RAPAS optical non-detection,"['GRB', 'Optical Transient', 'X-ray Transient']",3,5,0.6,15
GRB 260727A,45226.0,GRB 260727A: GOTO early optical upper limit ,"['GRB', 'Optical Transient']",2,5,0.4,15
GRB 260727A,45225.0,GRB 260727A: AstroSat CZTI detection,"['GRB', 'Gamma-ray Transient', 'X-ray Transient']",3,5,0.6,15
GRB 260727A,45224.0,GRB 260727A: Kilonova-Catcher optical upper limit,['GRB'],1,5,0.2,15
GRB 260727A,45223.0,GRB 260727A: LCO optical upper limits,"['GRB', 'Optical Transient']",2,5,0.4,15
GRB 260727A,45220.0,GRB 260727A: SVOM detection of a bright long burst,"['GRB', 'X-ray Transient']",2,5,0.4,15
GRB 260618B,45268.0,GRB 260618B: SVOM/VT continued optical observations indicated  a steeper and redder decay,"['GRB', 'Optical Transient']",2,5,0.4,10
GRB 260618B,45173.0,GRB 260618B: EP-FXT follow-up observation upper limit,"['GRB', 'X-ray Transient']",2,5,0.4,10
GRB 260618B,45151.0,GRB 260618B:  SVOM/VT optical observations indicate shallow decay and reddening,"['GRB', 'Optical Transient']",2,5,0.4,10
GRB 260618B,45038.0,Konus-Wind detection of GRB 260618B,"['GRB', 'Gamma-ray Transient']",2,5,0.4,10
GRB 260618B,45014.0,GRB 260618B: LCO optical observations,"['GRB', 'Optical Transient']",2,5,0.4,10
GRB 260618B,45010.0,GRB 260618B: Fermi GBM Observation,"['GRB', 'Gamma-ray Transient']",2,5,0.4,10
GRB 260618B,45001.0,GRB 260618B: SVOM/VT optical candidate,"['GRB', 'Optical Transient']",2,5,0.4,10
GRB 260618B,45000.0,GRB 260618B: SVOM/VT optical candidate (duplicate Submission of 45001),"['GRB', 'Optical Transient', 'Retraction']",3,5,0.6,10
GRB 260618B,44983.0,GRB 260618B: Fermi-LAT detection,"['GRB', 'Gamma-ray Transient']",2,5,0.4,10
GRB 260618B,44979.0,GRB 260618B: Fermi GBM Final Real-time Localization,"['GRB', 'Gamma-ray Transient']",2,5,0.4,10
GRB 260731A,45267.0,GRB 260731A: AstroSat CZTI detection of a long burst,"['GRB', 'Gamma-ray Transient', 'X-ray Transient']",3,3,1.0,1
IceCube-260722A,45266.0,Fermi-LAT Gamma-ray Observations of IceCube-260722A,"['Gamma-ray Transient', 'Neutrino']",2,4,0.5,6
IceCube-260722A,45217.0,IceCube-260722A: Classification of ZTF26abjbxfs/SN 2026vts as a Type Ia Supernova,"['Neutrino', 'Optical Transient', 'SN']",3,4,0.75,6
IceCube-260722A,45199.0,IceCube-260722A: Upper limits from a search for additional neutrino events in IceCube,['Neutrino'],1,4,0.25,6
IceCube-260722A,45198.0,IceCube-260722A: One candidate from the Zwicky Transient Facility (ZTF),"['Neutrino', 'Optical Transient']",2,4,0.5,6
IceCube-260722A,45197.0,IceCube Alert 260722A: Global MASTER-Net observations report,"['Neutrino', 'Optical Transient']",2,4,0.5,6
IceCube-260722A,45194.0, IceCube-260722A - IceCube observation of a high-energy neutrino candidate track-like event,['Neutrino'],1,4,0.25,6
GRB 260726A,45259.0,GRB 260726A: SVOM/ECLAIRs refined analysis,"['GRB', 'X-ray Transient']",2,4,0.5,10
GRB 260726A,45249.0,GRB 260726A: EP-FXT follow-up observations,"['GRB', 'X-ray Transient']",2,4,0.5,10
GRB 260726A,45246.0,GRB 260726A: Fermi GBM Observation,"['GRB', 'Gamma-ray Transient']",2,4,0.5,10
GRB 260726A,45241.0,GRB 260726A: Liverpool Telescope optical observations,"['GRB', 'Optical Transient']",2,4,0.5,10
GRB 260726A,45232.0,GRB 260726A: J-band upper limit with WINTER,['GRB'],1,4,0.25,10
GRB 260726A,45230.0,GRB 260726A:  SVOM/VT optical candidate,"['GRB', 'Optical Transient']",2,4,0.5,10
GRB 260726A,45229.0,GRB 260726A: SVOM ECLAIRs improved position and MXT possible detection of a counterpart,"['GRB', 'X-ray Transient']",2,4,0.5,10
GRB 260726A,45221.0,Fermi GRB 260726A: Global MASTER-Net observations report,"['GRB', 'Gamma-ray Transient', 'Optical Transient']",3,4,0.75,10
GRB 260726A,45219.0,GRB 260726A: SVOM detection of a burst,"['GRB', 'X-ray Transient']",2,4,0.5,10
GRB 260726A,45218.0,GRB 260726A: Fermi GBM Final Real-time Localization,"['GRB', 'Gamma-ray Transient']",2,4,0.5,10
GRB 260730A,45258.0,GRB260730A: Fermi GBM Final Localization,"['GRB', 'Gamma-ray Transient']",2,2,1.0,1
EP260728a,45257.0,EP260728a: COLIBRÍ optical upper limit,['X-ray Transient'],1,1,1.0,3
EP260728a,45250.0,EP260728a: EP-FXT follow-up observation,['X-ray Transient'],1,1,1.0,3
EP260728a,45248.0,EP260728a: Einstein Probe detection of a fast X-ray transient,['X-ray Transient'],1,1,1.0,3
EP260727a,45256.0,EP260727a: VLT/X-shooter spectroscopic redshift z = 2.817,['X-ray Transient'],1,2,0.5,9
EP260727a,45252.0,EP260727a: SAO RAS optical observations,"['Optical Transient', 'X-ray Transient']",2,2,1.0,9
EP260727a,45245.0,EP260727a: 1.5m OSN optical counterpart detection,"['Optical Transient', 'X-ray Transient']",2,2,1.0,9
EP260727a,45244.0,EP260727a:refined analysis of the EP-WXT and EP-FXT observation,['X-ray Transient'],1,2,0.5,9
EP260727a,45243.0,EP260727a: OHP/T193 optical observations,"['Optical Transient', 'X-ray Transient']",2,2,1.0,9
EP260727a,45239.0,EP260727a: Liverpool Telescope confirmation of optical counterpart,"['Optical Transient', 'X-ray Transient']",2,2,1.0,9
EP260727a,45238.0,EP260727a: NUTTELA-TAO Early Optical Limits,"['Optical Transient', 'X-ray Transient']",2,2,1.0,9
EP260727a,45235.0,EP260727a: Einstein Probe detection of an X-ray transient,['X-ray Transient'],1,2,0.5,9
EP260727a,45234.0,The EP-WXT trigger 01709276927 (EP260727a?): NOT likely optical counterpart,"['Optical Transient', 'X-ray Transient']",2,2,1.0,9
EP260729a,45255.0,The EP-WXT trigger 01709277130 (EP260729a): refined EP-WXT analysis and association with a flaring star,['X-ray Transient'],1,2,0.5,3
EP260729a,45254.0,EP 260729a: Ondrejov D50 optical detection supports stellar flare origin,"['Optical Transient', 'X-ray Transient']",2,2,1.0,3
EP260729a,45253.0,EP260729a: Einstein Probe detection of an X-ray transient,['X-ray Transient'],1,2,0.5,3
GRB 260728A,45237.0,GRB 260728A: Fermi GBM Final Localization,"['GRB', 'Gamma-ray Transient']",2,2,1.0,1
EP260723a,45227.0,EP260723a: SVOM/ECLAIRs Upper Limit,['X-ray Transient'],1,2,0.5,9
EP260723a,45216.0,EP260723a: further EP-FXT follow-up observation,['X-ray Transient'],1,2,0.5,9
